ID,Length,Attomoles_B
MG_65,1487,0.029411765
GC_24_1,996,0.058823529
MG_69,1000,0.117647059
MG_29,2974,0.235294118
MG_38,2572,0.470588235
MG_4,5566,0.941176471
M8_G,1930,1.882352941
MG_41,2272,3.764705882
MG_47,4510,7.529411765
MG_45,4127,15.05882353
MG_53,1838,30.11764706
MG_33,2848,60.23529412
M11_G,1645,120.4705882
MG_46,9121,240.9411765
MG_44,2175,481.8823529
GC_24_2,1000,963.7647059
M1_G,3218,1927.529412
MG_55,1781,3855.058824
MG_36,2695,7710.117647
MG_62,1558,15420.23529
MG_57,1681,30840.47059
MG_51,1930,15.05882353
GC_68_1,988,7.529411765
MG_31,2970,3.764705882
MG_58,1668,1.882352941
MG_39,2560,0.941176471
M5_G,1138,0.470588235
MG_19,4216,0.235294118
MG_49,2039,0.117647059
GC_68_3,1000,0.058823529
MG_70,1000,0.029411765
M7_G,1695,30.11764706
MG_37,2649,30840.47059
MG_63,1516,15420.23529
MG_42,2257,7710.117647
MG_3,5314,3855.058824
MG_6,7060,1927.529412
MG_23,3973,963.7647059
M3_G,1824,481.8823529
MG_28,3218,240.9411765
MG_60,1645,120.4705882
MG_34,2812,60.23529412
MG_59,1661,15.05882353
GC_68_2,1000,7.529411765
MG_56,1695,3.764705882
MG_15,4720,1.882352941
MG_8,2784,0.941176471
MG_7,6228,0.470588235
MG_54,1824,0.235294118
MG_40,2374,0.117647059
MG_64,1516,0.058823529
GC_24_3,1000,0.029411765
MG_30,2992,30.11764706
M9_G,2572,30840.47059
MG_24,3671,15420.23529
MG_61,1591,7710.117647
MG_52,1850,3855.058824
MG_68,1138,1927.529412
MG_71,982,963.7647059
MG_32,2879,481.8823529
MG_50,2038,240.9411765
MG_22,4133,120.4705882
MG_43,2175,60.23529412
