Re-sort ID	RNA_ID	subgroup	concentration in Mix A (attomoles/ul)	concentration in Mix B (attomoles/ul)	expected fold-change ratio	log2(Mix 1/Mix 2)
1	R_1_1_R	A	10000	2500	4	2
2	R_1_1_V	A	10000	2500	4	2
3	R_1_2_R	A	15000	1250	12	3.584962501
4	R_1_2_V	A	5000	3750	1.333333333	0.415037499
5	R_1_3_R	A	5000	3750	1.333333333	0.415037499
6	R_1_3_V	A	15000	1250	12	3.584962501
7	R_10_1_R	A	2500	625	4	2
8	R_10_1_V	A	2500	625	4	2
9	R_10_2_R	A	1250	937.5	1.333333333	0.415037499
10	R_10_2_V	A	3750	312.5	12	3.584962501
11	R_10_3_R	A	3750	312.5	12	3.584962501
12	R_10_3_V	A	1250	937.5	1.333333333	0.415037499
13	R_2_1_R	B	625	312.5	2	1
14	R_2_1_V	B	625	312.5	2	1
15	R_2_2_R	B	312.5	468.75	0.666666667	-0.584962501
16	R_2_2_V	B	937.5	156.25	6	2.584962501
17	R_2_3_R	B	937.5	156.25	6	2.584962501
18	R_2_3_V	B	312.5	468.75	0.666666667	-0.584962501
19	R_2_4_R	B	1250	625	2	1
20	R_3_1_R	B	156.25	78.125	2	1
21	R_3_1_V	B	156.25	78.125	2	1
22	R_3_2_R	B	78.125	117.1875	0.666666667	-0.584962501
23	R_3_2_V	B	234.375	39.0625	6	2.584962501
24	R_3_3_R	B	234.375	39.0625	6	2.584962501
25	R_3_3_V	B	78.125	117.1875	0.666666667	-0.584962501
26	R_4_1_R	B	58.59375	9.765625	6	2.584962501
27	R_4_1_V	B	19.53125	29.296875	0.666666667	-0.584962501
28	R_4_2_R	B	39.0625	19.53125	2	1
29	R_4_2_V	B	39.0625	19.53125	2	1
30	R_4_3_R	B	19.53125	29.296875	0.666666667	-0.584962501
31	R_4_3_V	B	58.59375	9.765625	6	2.584962501
32	R_5_1_R	C	4.8828125	14.6484375	0.333333333	-1.584962501
33	R_5_1_V	C	14.6484375	4.8828125	3	1.584962501
34	R_5_2_R	C	14.6484375	4.8828125	3	1.584962501
35	R_5_2_V	C	4.8828125	14.6484375	0.333333333	-1.584962501
36	R_5_3_R	C	19.53125	19.53125	1	0
37	R_6_1_R	C	2.44140625	2.44140625	1	0
38	R_6_1_V	C	2.44140625	2.44140625	1	0
39	R_6_2_R	C	1.220703125	3.662109375	0.333333333	-1.584962501
40	R_6_2_V	C	3.662109375	1.220703125	3	1.584962501
41	R_6_3_R	C	3.662109375	1.220703125	3	1.584962501
42	R_6_3_V	C	1.220703125	3.662109375	0.333333333	-1.584962501
43	R_7_1_R	C	0.915527344	0.305175781	3	1.584962501
44	R_7_1_V	C	0.305175781	0.915527344	0.333333333	-1.584962501
45	R_7_2_R	C	0.610351563	0.610351563	1	0
46	R_7_2_V	C	0.610351563	0.610351563	1	0
47	R_7_3_R	C	0.305175781	0.915527344	0.333333333	-1.584962501
48	R_7_3_V	C	0.915527344	0.305175781	3	1.584962501
49	R_1_4_R	D	0.305175781	0.610351563	0.5	-1
50	R_8_1_R	D	0.152587891	0.305175781	0.5	-1
51	R_8_1_V	D	0.152587891	0.305175781	0.5	-1
52	R_8_2_R	D	0.076293945	0.457763672	0.166666667	-2.584962501
53	R_8_2_V	D	0.228881836	0.152587891	1.5	0.584962501
54	R_8_3_R	D	0.228881836	0.152587891	1.5	0.584962501
55	R_8_3_V	D	0.076293945	0.457763672	0.166666667	-2.584962501
56	R_9_1_R	D	0.038146973	0.076293945	0.5	-1
57	R_9_1_V	D	0.038146973	0.076293945	0.5	-1
58	R_9_2_R	D	0.019073486	0.114440918	0.166666667	-2.584962501
59	R_9_2_V	D	0.057220459	0.038146973	1.5	0.584962501
60	R_9_3_R	D	0.057220459	0.038146973	1.5	0.584962501
61	R_9_3_V	D	0.019073486	0.114440918	0.166666667	-2.584962501
