ID	Length	MixA
1	CI_012_V	1000	1
2	CI_015_V	1000	1
3	CI_019_V	1000	1
4	CI_021_V	1000	1
5	CI_025_V	1000	1
6	CI_034_V	1000	1
7	CI_035_V	1000	1
8	CI_040_V	1000	1
9	CI_044_V	1000	0.5
10	CI_050_V	1000	0.5
11	CI_053_V	1000	0.5
12	CI_071_V	1000	0.5
13	CI_077_V	1000	0.5
14	CI_081_V	1000	0.5
15	CI_084_V	1000	0.5
16	CI_085_V	1000	0.5
17	CI_086_V	1000	0.5
18	CS_011_V	1000	0.5
19	CS_018_V	1000	0.5
20	CS_022_V	1000	0.5
21	CS_383_V	1000	0.25
22	CS_278_V	1000	0.25
23	CS_064_V	1000	0.25
24	CS_071_V	1000	0.25
25	CS_075_V	1000	0.25
26	CS_077_V	1000	0.25
27	CS_080_V	1000	0.25
28	CS_088_V	1000	0.25
29	CS_268_V	1000	0.125
30	CS_127_V	1000	0.125
31	CS_262_V	1000	0.125
32	CS_196_V	1000	0.125
33	CS_203_V	1000	0.125
34	CS_209_V	1000	0.125
35	CS_223_V	1000	0.125
36	CS_421_V	1000	0.125
37	CS_229_V	1000	0.0625
38	CS_247_V	1000	0.0625
39	CS_261_V	1000	0.0625
40	CS_296_V	1000	0.0625
41	CS_308_V	1000	0.0625
42	CS_342_V	1000	0.0625
43	CS_344_V	1000	0.0625
44	CS_415_V	1000	0.0625
45	CS_326_V	1000	0.03125
46	CS_336_V	1000	0.03125
47	CS_341_V	1000	0.03125
48	CS_225_V	1000	0.03125
49	CS_178_V	1000	0.03125
50	CS_372_V	1000	0.03125
51	CS_376_V	1000	0.03125
52	CS_611_V	1000	0.03125
53	CS_040_V	1000	0.03125
54	CS_771_V	1000	0.03125
55	CS_475_V	1000	0.015625
56	CS_677_V	1000	0.015625
57	CS_703_V	1000	0.015625
58	CS_363_V	1000	0.015625
59	CS_429_V	1000	0.015625
60	CS_091_V	1000	0.015625
61	CS_775_V	1000	0.015625
62	CS_027_V	1000	0.015625
63	CS_499_V	1000	0.015625
64	CS_449_V	1000	0.015625
65	CS_594_V	1000	0.0078125
66	CS_725_V	1000	0.0078125
67	CS_494_V	1000	0.0078125
68	CS_380_V	1000	0.0078125
69	CS_500_V	1000	0.0078125
70	CS_515_V	1000	0.0078125
71	CS_526_V	1000	0.0078125
72	CS_542_V	1000	0.0078125
73	CS_560_V	1000	0.0078125
74	CS_572_V	1000	0.0078125
75	CS_573_V	1000	0.00390625
76	CS_579_V	1000	0.00390625
77	CS_585_V	1000	0.00390625
78	CS_371_V	1000	0.00390625
79	CS_608_V	1000	0.00390625
80	CS_462_V	1000	0.00390625
81	CS_641_V	1000	0.00390625
82	CS_648_V	1000	0.00390625
83	CS_653_V	1000	0.00390625
84	CS_654_V	1000	0.00390625
85	CS_655_V	1000	0.001953125
86	CS_471_V	1000	0.001953125
87	CS_689_V	1000	0.001953125
88	CS_693_V	1000	0.001953125
89	CS_695_V	1000	0.001953125
90	CS_484_V	1000	0.001953125
91	CS_488_V	1000	0.001953125
92	CS_743_V	1000	0.001953125
93	CS_754_V	1000	0.000976563
94	CS_756_V	1000	0.000976563
95	CS_759_V	1000	0.000976563
96	CS_766_V	1000	0.000976563
97	CS_432_V	1000	0.000976563
98	CS_457_V	1000	0.000976563
99	CS_778_V	1000	0.000976563
100	CS_790_V	1000	0.000976563
101	CI_012_R	1000	0
102	CI_015_R	1000	0
103	CI_019_R	1000	0
104	CI_021_R	1000	0
105	CI_025_R	1000	0
106	CI_034_R	1000	0
107	CI_035_R	1000	0
108	CI_040_R	1000	0
109	CI_044_R	1000	0.5
110	CI_050_R	1000	0.5
111	CI_053_R	1000	0.5
112	CI_071_R	1000	0.5
113	CI_077_R	1000	0.5
114	CI_081_R	1000	0.5
115	CI_084_R	1000	0.5
116	CI_085_R	1000	0.5
117	CI_086_R	1000	0.5
118	CS_011_R	1000	0.5
119	CS_018_R	1000	0.5
120	CS_022_R	1000	0.5
121	CS_383_R	1000	0.75
122	CS_278_R	1000	0.75
123	CS_064_R	1000	0.75
124	CS_071_R	1000	0.75
125	CS_075_R	1000	0.75
126	CS_077_R	1000	0.75
127	CS_080_R	1000	0.75
128	CS_088_R	1000	0.75
129	CS_268_R	1000	0.875
130	CS_127_R	1000	0.875
131	CS_262_R	1000	0.875
132	CS_196_R	1000	0.875
133	CS_203_R	1000	0.875
134	CS_209_R	1000	0.875
135	CS_223_R	1000	0.875
136	CS_421_R	1000	0.875
137	CS_229_R	1000	0.9375
138	CS_247_R	1000	0.9375
139	CS_261_R	1000	0.9375
140	CS_296_R	1000	0.9375
141	CS_308_R	1000	0.9375
142	CS_342_R	1000	0.9375
143	CS_344_R	1000	0.9375
144	CS_415_R	1000	0.9375
145	CS_326_R	1000	0.96875
146	CS_336_R	1000	0.96875
147	CS_341_R	1000	0.96875
148	CS_225_R	1000	0.96875
149	CS_178_R	1000	0.96875
150	CS_372_R	1000	0.96875
151	CS_376_R	1000	0.96875
152	CS_611_R	1000	0.96875
153	CS_040_R	1000	0.96875
154	CS_771_R	1000	0.96875
155	CS_475_R	1000	0.984375
156	CS_677_R	1000	0.984375
157	CS_703_R	1000	0.984375
158	CS_363_R	1000	0.984375
159	CS_429_R	1000	0.984375
160	CS_091_R	1000	0.984375
161	CS_775_R	1000	0.984375
162	CS_027_R	1000	0.984375
163	CS_499_R	1000	0.984375
164	CS_449_R	1000	0.984375
165	CS_594_R	1000	0.9921875
166	CS_725_R	1000	0.9921875
