qID	Length	MixA	MixB	MixF
GA98	10374	10	10	30000
GA116	10374	20	20	30000
GA141	10374	40	640	30000
GA160	10586	80	320	30000
GA161	10368	160	160	30000
GA183	10374	320	80	30000
GA184	10374	640	40	30000
GA322	10374	1280	1280	30000
GA425	10374	2560	40960	30000
GA572	10374	5120	20480	30000
GA620	10374	10240	10240	30000
GA623	10374	20480	5120	30000
GA805	10374	40960	2560	30000
GA980	10374	81920	81920	30000
GA994	10374	163840	2621440	30000
GA1026	10374	327680	1310720	30000
GA1065	10374	655360	655360	30000
GA1071	10374	1310720	327680	30000
GA1189	10374	2621440	163840	30000
GA1206	10429	5242880	5242880	30000
GA1274	10374	10485760	10485760	30000
