Re-sort ID	DNA_ID	subgroup	concentration in Mix A (attomoles/ul)	concentration in Mix B (attomoles/ul)	expected fold-change ratio	log2(Mix 1/Mix 2)
1	D_3_12_R	A	733.3333333	0.823045267	891.0	9.8
2	D_2_12_R	A	666.6666667	8.230452675	81.0	6.3
3	D_1_12_R	A	370.3703704	41.15226337	9.0	3.2
4	D_1_12_V	A	370.3703704	41.15226337	9.0	3.2
5	D_2_12_V	A	74.07407407	74.07407407	1.0	0.0
6	D_3_12_V	A	7.407407407	81.48148148	0.1	-3.5
7	D_3_7_R	A	1.005944216	0.001129006	891.0	9.8
8	D_2_7_R	A	0.914494742	0.011290059	81.0	6.3
9	D_1_7_R	A	0.508052634	0.056450293	9.0	3.2
10	D_1_7_V	A	0.508052634	0.056450293	9.0	3.2
11	D_2_7_V	A	0.101610527	0.101610527	1.0	0.0
12	D_3_7_V	A	0.010161053	0.11177158	0.1	-3.5
13	D_3_9_R	B	6600	22.22222222	297.0	8.2
14	D_2_10_R	B	6000	222.2222222	27.0	4.8
15	D_1_10_R	B	3333.333333	1111.111111	3.0	1.6
16	D_1_10_V	B	3333.333333	1111.111111	3.0	1.6
17	D_2_10_V	B	666.6666667	2000	0.3	-1.6
18	D_3_9_V	B	66.66666667	2200	0.0	-5.0
19	D_3_5_R	B	9.053497942	0.030483158	297.0	8.2
20	D_2_5_R	B	8.230452675	0.304831581	27.0	4.8
21	D_1_5_R	B	4.572473708	1.524157903	3.0	1.6
22	D_1_5_V	B	4.572473708	1.524157903	3.0	1.6
23	D_2_5_V	B	0.914494742	2.743484225	0.3	-1.6
24	D_3_5_V	B	0.091449474	3.017832647	0.0	-5.0
25	D_3_6_V	C	19800	200	99.0	6.6
26	D_2_6_V	C	18000	2000	9.0	3.2
27	D_1_6_R	C	10000	10000	1.0	0.0
28	D_1_6_V	C	10000	10000	1.0	0.0
29	D_2_6_R	C	2000	18000	0.1	-3.2
30	D_3_6_R	C	200	19800	0.0	-6.6
31	D_3_4_V	C	27.16049383	0.274348422	99.0	6.6
32	D_2_4_V	C	24.69135802	2.743484225	9.0	3.2
33	D_1_4_R	C	13.71742112	13.71742112	1.0	0.0
34	D_1_4_V	C	13.71742112	13.71742112	1.0	0.0
35	D_2_4_R	C	2.743484225	24.69135802	0.1	-3.2
36	D_3_4_R	C	0.274348422	27.16049383	0.0	-6.6
37	D_3_11_V	D	2200	66.66666667	33.0	5.0
38	D_2_11_V	D	2000	666.6666667	3.0	1.6
39	D_1_11_R	D	1111.111111	3333.333333	0.3	-1.6
40	D_1_11_V	D	1111.111111	3333.333333	0.3	-1.6
41	D_2_9_V	D	244.4444444	7.407407407	33.0	5.0
42	D_2_11_R	D	222.2222222	6000	0.0	-4.8
43	D_2_2_V	D	222.2222222	74.07407407	3.0	1.6
44	D_1_2_R	D	123.4567901	370.3703704	0.3	-1.6
45	D_1_2_V	D	123.4567901	370.3703704	0.3	-1.6
46	D_3_3_R	D	81.48148148	2.469135802	33.0	5.0
47	D_1_9_R	D	74.07407407	24.69135802	3.0	1.6
48	D_1_3_R	D	41.15226337	123.4567901	0.3	-1.6
49	D_1_3_V	D	41.15226337	123.4567901	0.3	-1.6
50	D_2_2_R	D	24.69135802	666.6666667	0.0	-4.8
51	D_3_11_R	D	22.22222222	6600	0.0	-8.2
52	D_1_9_V	D	8.230452675	222.2222222	0.0	-4.8
53	D_3_1_V	D	3.017832647	0.091449474	33.0	5.0
54	D_2_1_V	D	2.743484225	0.914494742	3.0	1.6
55	D_2_9_R	D	2.469135802	733.3333333	0.0	-8.2
56	D_1_1_R	D	1.524157903	4.572473708	0.3	-1.6
57	D_1_1_V	D	1.524157903	4.572473708	0.3	-1.6
58	D_3_3_V	D	0.823045267	244.4444444	0.0	-8.2
59	D_3_8_V	D	0.335314739	0.010161053	33.0	5.0
60	D_2_8_V	D	0.304831581	0.101610527	3.0	1.6
61	D_2_1_R	D	0.304831581	8.230452675	0.0	-4.8
62	D_1_8_R	D	0.169350878	0.508052634	0.3	-1.6
63	D_1_8_V	D	0.169350878	0.508052634	0.3	-1.6
64	D_3_10_R	D	0.11177158	0.003387018	33.0	5.0
65	D_3_2_R	D	0.101610527	0.033870176	3.0	1.6
66	D_2_3_R	D	0.056450293	0.169350878	0.3	-1.6
67	D_2_3_V	D	0.056450293	0.169350878	0.3	-1.6
68	D_2_8_R	D	0.033870176	0.914494742	0.0	-4.8
69	D_3_1_R	D	0.030483158	9.053497942	0.0	-8.2
70	D_3_2_V	D	0.011290059	0.304831581	0.0	-4.8
71	D_3_8_R	D	0.003387018	1.005944216	0.0	-8.2
72	D_3_10_V	D	0.001129006	0.335314739	0.0	-8.2
