newID	Length	MixA	MixB	MixF	oldID
C_01	10374	10	10	30000	GA98
C_02	10374	20	20	30000	GA116
C_03	10374	40	640	30000	GA141
C_04	10586	80	320	30000	GA160
C_05	10368	160	160	30000	GA161
C_06	10374	320	80	30000	GA183
C_07	10374	640	40	30000	GA184
C_08	10374	1280	1280	30000	GA322
C_09	10374	2560	40960	30000	GA425
C_10	10374	5120	20480	30000	GA572
C_11	10374	10240	10240	30000	GA620
C_12	10374	20480	5120	30000	GA623
C_13	10374	40960	2560	30000	GA805
C_14	10374	81920	81920	30000	GA980
C_15	10374	163840	2621440	30000	GA994
C_16	10374	327680	1310720	30000	GA1026
C_17	10374	655360	655360	30000	GA1065
C_18	10374	1310720	327680	30000	GA1071
C_19	10374	2621440	163840	30000	GA1189
C_20	10429	5242880	5242880	30000	GA1206
C_21	10374	10485760	10485760	30000	GA1274
