ID,Mix A,Mix B
MG_45,1,1
MG_31,2,2
MG_22,4,4
M1_G,8,8
MG_3A,16,16
MG_30,32,32
MG_6A,64,64
M2_G,128,128
MG_29,256,256
MG_23,512,512
MG_47,1024,1024
M10_G,2048,2048
MG_19,4096,4096
MG_4A,8192,8192
MG_46A,16384,16384
MG_7A,32768,32768
MG_15,65536,65536
MG_24,131072,131072
M12_G,262144,262144
M6_G,524288,524288
MG_28,1048576,1048576
MG_34,1,512
M3_G,2,256
MG_38,4,128
M9_G,8,64
MG_49,16,32
MG_40,32,16
MG_51,64,8
MG_41,128,4
MG_39,256,2
MG_42,512,1
MG_37,1024,1024
MG_8A,2048,1048576
MG_33,4096,524288
MG_52,8192,262144
M8_G,16384,131072
MG_50,32768,65536
MG_32,65536,32768
MG_36,131072,16384
MG_44,262144,8192
MG_43,524288,4096
M4_G,1048576,2048
MG_61,1,1
MG_68,2,2
M5_G,4,4
MG_56,8,8
M7_G,16,16
MG_71,32,32
GC_68_1,64,64
MG_53,128,128
MG_64,256,256
MG_60,512,512
MG_59,1024,1024
MG_63,2048,1048576
MG_70,4096,524288
MG_69,8192,262144
M11_G,16384,131072
MG_65,32768,65536
MG_55,65536,32768
MG_58,131072,16384
MG_62,262144,8192
MG_54,524288,4096
MG_57,1048576,2048
