ID,Length,MixA,MixB
MG_65,1487,1,1
GC_24_1,1000,2,2
MG_69,1000,4,4
MG_29,2974,8,8
MG_38,2572,16,16
MG_4,5566,32,32
M8_G,1944,64,64
MG_41,2272,128,128
MG_47,4510,256,256
MG_45,4127,512,512
MG_53,1838,1024,1024
MG_33,2848,2048,2048
M11_G,1659,4096,4096
MG_46,9121,8192,8192
MG_44,2175,16384,16384
GC_24_2,1000,32768,32768
M1_G,3232,65536,65536
MG_55,1781,131072,131072
MG_36,2695,262144,262144
MG_62,1558,524288,524288
MG_57,1681,1048576,1048576
MG_51,1930,1,512
GC_68_1,988,2,256
MG_31,2970,4,128
MG_58,1668,8,64
MG_39,2560,16,32
M5_G,1152,32,16
MG_19,4216,64,8
MG_49,2039,128,4
GC_68_3,1000,256,2
MG_70,1000,512,1
M7_G,1709,1024,1024
MG_37,2649,2048,1048576
MG_63,1516,4096,524288
MG_42,2257,8192,262144
MG_3,5314,16384,131072
MG_6,7060,32768,65536
MG_23,3973,65536,32768
M3_G,1838,131072,16384
MG_28,3218,262144,8192
MG_60,1645,524288,4096
MG_34,2812,1048576,2048
MG_59,1661,1,512
GC_68_2,1000,2,256
MG_56,1695,4,128
MG_15,4720,8,64
MG_8,2784,16,32
MG_7,6228,32,16
MG_54,1824,64,8
MG_40,2374,128,4
MG_64,1516,256,2
GC_24_3,1000,512,1
MG_30,2992,1024,1024
M9_G,2586,2048,1048576
MG_24,3671,4096,524288
MG_61,1591,8192,262144
MG_52,1850,16384,131072
MG_68,1138,32768,65536
MG_71,982,65536,32768
MG_32,2879,131072,16384
MG_50,2038,262144,8192
MG_22,4133,524288,4096
MG_43,2175,1048576,2048
