ID	MXA (attomol/ul)
MG_65	0.029411765
GC_24_1	0.058823529
MG_69	0.117647059
MG_29	0.235294118
MG_38	0.470588235
MG_4	0.941176471
M8_G	1.882352941
MG_41	3.764705882
MG_47	7.529411765
MG_45	15.05882353
MG_53	30.11764706
MG_33	60.23529412
M11_G	120.4705882
MG_46	240.9411765
MG_44	481.8823529
GC_24_2	963.7647059
M1_G	1927.529412
MG_55	3855.058824
MG_36	7710.117647
MG_62	15420.23529
MG_57	30840.47059
MG_51	0.029411765
GC_68_1	0.058823529
MG_31	0.117647059
MG_58	0.235294118
MG_39	0.470588235
M5_G	0.941176471
MG_19	1.882352941
MG_49	3.764705882
GC_68_3	7.529411765
MG_70	15.05882353
M7_G	30.11764706
MG_37	60.23529412
MG_63	120.4705882
MG_42	240.9411765
MG_3	481.8823529
MG_6	963.7647059
MG_23	1927.529412
M3_G	3855.058824
MG_28	7710.117647
MG_60	15420.23529
MG_34	30840.47059
MG_59	0.029411765
GC_68_2	0.058823529
MG_56	0.117647059
MG_15	0.235294118
MG_8	0.470588235
MG_7	0.941176471
MG_54	1.882352941
MG_40	3.764705882
MG_64	7.529411765
GC_24_3	15.05882353
MG_30	30.11764706
M9_G	60.23529412
MG_24	120.4705882
MG_61	240.9411765
MG_52	481.8823529
MG_68	963.7647059
MG_71	1927.529412
MG_32	3855.058824
MG_50	7710.117647
MG_22	15420.23529
MG_43	30840.47059
