Ref,Var,Group,Ref Length,Var Length,AIM A,AIM B,Ratio Ref A,Ratio Var A,Ratio Ref B,Ratio Var B,RA Reads,VA Reads,RB Reads,VB Reads,RA Norm Reads,VA Norm Reads,RB Norm Reads,VB Norm Reads
D_1_6_R,D_1_6_V,C,1024,1000,2.00E+07,20000000,1,1,1,1,10000000,10000000,10000000,10000000,10240000,10000000,10240000,10000000
D_2_6_R,D_2_6_V,C,978,969,2.00E+07,20000000,1,9,9,1,2000000,18000000,18000000,2000000,1956000,17442000,17604000,1938000
D_3_6_R,D_3_6_V,C,1079,1104,2.00E+07,20000000,1,99,99,1,200000,19800000,19800000,200000,215800,21859200,21364200,220800
D_1_10_R,D_1_10_V,B,927,900,6.67E+06,2222222,1,1,1,1,3333333,3333333,1111111,1111111,3089999,2999999,1029999,999999
D_2_10_R,D_2_10_V,B,1004,1029,6.67E+06,2222222,9,1,1,9,5999999.4,666666.6,222222.2,1999999.8,6023999,685999,223111,2057999
D_3_9_R,D_3_9_V,B,1007,1027,6.67E+06,2222222,99,1,1,99,6599999.34,66666.66,22222.22,2199999.78,6646199,68466,22377,2259399
D_1_11_R,D_1_11_V,D,1115,1121,2222222,6666666,1,1,1,1,1111111,1111111,3333333,3333333,1238888,1245555,3716666,3736666
D_2_11_R,D_2_11_V,D,1039,1027,2222222,6666666,1,9,9,1,222222.2,1999999.8,5999999.4,666666.6,230888,2053999,6233999,684666
D_3_11_R,D_3_11_V,D,953,969,2222222,6666666,1,99,99,1,22222.22,2199999.78,6599999.34,66666.66,21177,2131799,6289799,64599
D_1_12_R,D_1_12_V,A,979,997,740740,82304,1,1,1,1,370370,370370,41152,41152,362592,369258,40287,41028
D_2_12_R,D_2_12_V,A,994,973,740740,82304,9,1,1,9,666666,74074,8230.4,74073.6,662666,72074,8181,72073
D_3_12_R,D_3_12_V,A,1002,980,740740,82304,99,1,1,99,733332.6,7407.4,823.04,81480.96,734799,7259,824,79851
D_1_2_R,D_1_2_V,D,1122,1134,246912,740740,1,1,1,1,123456,123456,370370,370370,138517,139999,415555,419999
D_2_2_R,D_2_2_V,D,959,978,246913,740740,1,9,9,1,24691.3,222221.7,666666,74074,23678,217332,639332,72444
D_2_9_R,D_2_9_V,D,973,989,246913,740740,1,99,99,1,2469.13,244443.87,733332.6,7407.4,2402,241754,713532,7325
D_1_3_R,D_1_3_V,D,986,983,82304,246912,1,1,1,1,41152,41152,123456,123456,40575,40452,121727,121357
D_1_9_R,D_1_9_V,D,1099,1077,82304,246913,9,1,1,9,74073.6,8230.4,24691.3,222221.7,81406,8864,27135,239332
D_3_3_R,D_3_3_V,D,1018,1034,82304,246913,99,1,1,99,81480.96,823.04,2469.13,244443.87,82947,851,2513,252754
D_1_4_R,D_1_4_V,C,1115,1103,27434,27434,1,1,1,1,13717,13717,13717,13717,15294,15129,15294,15129
D_2_4_R,D_2_4_V,C,968,968,27434,27434,1,9,9,1,2743.4,24690.6,24690.6,2743.4,2655,23900,23900,2655
D_3_4_R,D_3_4_V,C,1096,1099,27434,27434,1,99,99,1,274.34,27159.66,27159.66,274.34,300,29848,29766,301
D_1_5_R,D_1_5_V,B,943,939,9144,3048,1,1,1,1,4572,4572,1524,1524,4311,4293,1437,1431
D_2_5_R,D_2_5_V,B,1121,1119,9144,3047,9,1,1,9,8229.6,914.4,304.7,2742.3,9225,1023,341,3068
D_3_5_R,D_3_5_V,B,1130,1135,9144,3047,99,1,1,99,9052.56,91.44,30.47,3016.53,10229,103,34,3423
D_1_1_R,D_1_1_V,D,1107,1133,3048,9144,1,1,1,1,1524,1524,4572,4572,1687,1726,5061,5180
D_2_1_R,D_2_1_V,D,935,958,3047,9144,1,9,9,1,304.7,2742.3,8229.6,914.4,284,2627,7694,875
D_3_1_R,D_3_1_V,D,934,945,3047,9144,1,99,99,1,30.47,3016.53,9052.56,91.44,28,2850,8455,86
D_1_7_R,D_1_7_V,A,1057,1062,1016,112,1,1,1,1,508,508,56,56,536,539,59,59
D_2_7_R,D_2_7_V,A,946,950,1015,112,9,1,1,9,913.5,101.5,11.2,100.8,864,96,10,95
D_3_7_R,D_3_7_V,A,893,905,1015,112,99,1,1,99,1004.85,10.15,1.12,110.88,897,9,1,100
D_1_8_R,D_1_8_V,D,1118,1125,338,1016,1,1,1,1,169,169,508,508,188,190,567,571
D_2_8_R,D_2_8_V,D,1044,1049,337,1015,1,9,9,1,33.7,303.3,913.5,101.5,35,318,953,106
D_3_8_R,D_3_8_V,D,1065,1087,338,1015,1,99,99,1,3.38,334.62,1004.85,10.15,3,363,1070,11
D_2_3_R,D_2_3_V,D,936,938,112,338,1,1,1,1,56,56,169,169,52,52,158,158
D_3_2_R,D_3_2_V,D,793,783,112,337,9,1,1,9,100.8,11.2,33.7,303.3,79,8,26,237
D_3_10_R,D_3_10_V,D,925,941,112,338,99,1,1,99,110.88,1.12,3.38,334.62,102,1,3,314
