"","Feature","Ratio","MET_1","MET_2","MET_3","CTL_1","CTL_2","CTL_3","M.Ave","M.SD","A"
"16499","ERCC-00002","1:2",37.9657534246575,36.3597678916828,56.169133192389,92.191435768262,83.2161172161172,64.6863753213368,-0.892712805878086,0.598242482680713,5.9487121241945
"16500","ERCC-00003","1:2",3.07534246575342,3.02707930367505,4.19238900634249,7.67758186397985,6.31318681318681,5.6426735218509,-0.936317725326227,0.458430398776771,2.31847365989929
"16501","ERCC-00004","4:1",10.4315068493151,10.7736943907157,14.2811839323467,3.12342569269521,2.71794871794872,2.31876606683805,2.11645192276399,0.455498694169056,2.86283241120048
"16502","ERCC-00009","1:1",1.85159817351598,1.68085106382979,2.37420718816068,2.2896725440806,1.96520146520147,1.38046272493573,0.083479446763244,0.606540871605624,0.943857975285826
"16504","ERCC-00013","1:2",0.00684931506849315,0.00193423597678917,0.00422832980972516,0.00251889168765743,0.00915750915750916,0.0025706940874036,-0.0273636047909023,1.95292426897536,-7.7820873342934
"16508","ERCC-00019","4:1",0.0547945205479452,0.0618955512572534,0.0909090909090909,0.0125944584382872,0.0238095238095238,0.0102827763496144,2.21457807406277,0.886641064873241,-4.56043900702145
"16509","ERCC-00022","1:2",0.36986301369863,0.355899419729207,0.479915433403805,0.81360201511335,0.816849816849817,0.560411311053985,-0.853213117788368,0.546029312024398,-0.820896227324427
"16511","ERCC-00025","1:1",0.0958904109589041,0.104448742746615,0.156448202959831,0.125944584382872,0.113553113553114,0.0745501285347044,0.185166525025168,0.777820052408983,-3.16093224003243
"16513","ERCC-00031","1:1",0.00228310502283105,0.00193423597678917,0.0169133192389006,0.0100755667506297,0.00732600732600733,0.0077120822622108,-0.976695906975885,1.83034638375306,-7.01954262107191
"16515","ERCC-00034","1:1",0.0273972602739726,0.0425531914893617,0.0507399577167019,0.0705289672544081,0.0494505494505494,0.0308483290488432,-0.287657841689707,1.04286823710707,-4.46584139628995
"16516","ERCC-00035","1:1",0.166666666666667,0.158607350096712,0.25369978858351,0.226700251889169,0.1996336996337,0.154241645244216,-0.0192620259383338,0.640875041184407,-2.37139821401317
"16517","ERCC-00039","1:1.5",0.0045662100456621,0.00773694390715667,0.00634249471458774,0.017632241813602,0.00732600732600733,0.0051413881748072,-0.522505880514317,1.24058037127535,-6.94355598382816
"16520","ERCC-00042","1:1",1.37671232876712,1.2862669245648,1.91966173361522,1.70780856423174,1.32600732600733,1.15681233933162,0.125293149312155,0.541027346627928,0.548152039051284
"16521","ERCC-00043","1:2",1.54566210045662,1.60928433268859,2.31289640591966,3.97229219143577,3.44505494505495,3.08740359897172,-0.958849323239065,0.487674210898874,1.4125641857699
"16522","ERCC-00044","1:1.5",0.0388127853881279,0.0290135396518375,0.06553911205074,0.0780856423173804,0.128205128205128,0.0874035989717224,-1.18917254718098,0.878206621082955,-3.81245247278479
"16523","ERCC-00046","1:2",8.162100456621,7.9651837524178,10.5031712473573,20.360201511335,16.5274725274725,14.9151670951157,-0.959260395239937,0.414435881359023,3.70843183304707
"16525","ERCC-00051","1:1",0.0296803652968037,0.0154738878143133,0.0422832980972516,0.0428211586901763,0.0274725274725275,0.0205655526992288,-0.105703614678968,1.00331182802934,-5.07260986567614
