Ref,Var,Group,Ref Length,Var Length,AIM A,AIM B,Ratio R,Ratio V
R_1_1_R,R_1_1_V,A,703,785,10000000,2500000,1,1
R_1_2_R,R_1_2_V,A,1310,1582,10000000,2500000,3,1
R_1_3_R,R_1_3_V,A,1940,698,10000000,2500000,1,3
R_1_4_R,,D,664,,152,304,1,0
R_10_1_R,R_10_1_V,A,719,430,2500000,625000,1,1
R_10_2_R,R_10_2_V,A,1490,1362,2500000,625000,1,3
R_10_3_R,R_10_3_V,A,1754,1856,2500000,625000,3,1
R_2_1_R,R_2_1_V,B,867,794,625000,312500,1,1
R_2_2_R,R_2_2_V,B,1169,1041,625000,312500,1,3
R_2_3_R,R_2_3_V,B,1689,1182,625000,312500,3,1
R_2_4_R,,B,4577,,625000,312500,1,0
R_3_1_R,R_3_1_V,B,661,1466,156250,78124,1,1
R_3_2_R,R_3_2_V,B,944,783,156249,78124,1,3
R_3_3_R,R_3_3_V,B,2361,1022,156249,78124,3,1
R_4_1_R,R_4_1_V,B,439,1001,39061,19530,3,1
R_4_2_R,R_4_2_V,B,975,604,39062,19530,1,1
R_4_3_R,R_4_3_V,B,2617,2907,39061,19530,1,3
R_5_1_R,R_5_1_V,C,884,890,9765,9765,1,3
R_5_2_R,R_5_2_V,C,1118,1504,9765,9765,3,1
R_5_3_R,,C,1986,1969,9765,9765,1,1
R_6_1_R,R_6_1_V,C,663,535,2440,2440,1,1
R_6_2_R,R_6_2_V,C,955,627,2441,2441,1,3
R_6_3_R,R_6_3_V,C,2336,1506,2441,2441,3,1
R_7_1_R,R_7_1_V,C,825,476,609,609,3,1
R_7_2_R,R_7_2_V,C,988,1227,610,610,1,1
R_7_3_R,R_7_3_V,C,1914,2865,609,609,1,3
R_8_1_R,R_8_1_V,D,889,1651,152,304,3,1
R_8_2_R,R_8_2_V,D,1400,982,152,304,1,1
R_8_3_R,R_8_3_V,D,1648,945,152,304,1,3
R_9_1_R,R_9_1_V,D,605,954,38,76,1,1
R_9_2_R,R_9_2_V,D,1637,727,37,76,1,3
R_9_3_R,R_9_3_V,D,1725,1177,37,76,3,1
