ID,Length,Mixture
R1_11_1,703,19531.25
R1_11_2,785,9765.625
R1_52_1,1118,76.29394531
R1_52_2,1504,38.14697266
R1_62_1,955,305.1757813
R1_62_2,627,152.5878906
R1_72_1,988,152.5878906
R1_72_2,1227,76.29394531
R2_115_1,794,9765.625
R2_115_2,1045,4882.8125
R2_19_1,1688,312500
R2_19_2,6943,156250
R2_20_1,1258,2441.40625
R2_20_2,1343,1220.703125
R2_41_1,2182,19531.25
R2_41_2,616,9765.625
R2_47_1,3894,9765.625
R2_47_2,1201,4882.8125
R2_54_1,2993,39062.5
R2_54_2,1523,19531.25
R1_41_1,439,55147.05882
R1_41_2,1001,882352.9412
R2_150_1,755,7102.272727
R2_150_2,1846,227272.7273
R2_26_1,4401,227272.7273
R2_26_2,1417,7102.272727
R2_55_2,661,113636.3636
R2_55_3,782,3636363.636
R2_63_1,1571,3551.136364
R2_63_3,712,113636.3636
R2_66_1,985,113636.3636
R2_66_2,878,3636363.636
R2_7_1,635,3551.136364
R2_7_2,1728,113636.3636
R1_14_1,664,58593.75
R1_103_1,1754,13020.83333
R1_103_2,1856,104166.6667
R1_43_1,2617,1627.604167
R1_43_2,2907,13020.83333
R2_1_1,995,114.440918
R2_105_1,375,114.440918
R2_117_1,1039,3662.109375
R2_117_3,913,3662.109375
R2_152_1,2243,1831.054688
R2_152_2,1854,1831.054688
R2_154_1,912,234375
R2_154_2,820,234375
R2_18_1,571,937500
R2_18_2,707,937500
R2_24_1,3788,203.4505208
R2_24_2,2985,1627.604167
R2_27_1,2254,101.7252604
R2_27_2,1106,813.8020833
R2_33_1,283,7.152557373
R2_57_1,1392,53.85454963
R2_57_2,1199,861.6727941
R2_6_1,546,3446.691176
R2_6_2,491,55147.05882
R2_60_1,1188,53.85454963
R2_60_2,1625,861.6727941
R2_65_1,908,457.7636719
R2_67_1,523,457.7636719
R2_68_1,2461,13.87162642
R2_68_2,2015,443.8920455
R2_71_1,1127,13.87162642
R2_71_2,369,443.8920455
R2_73_1,944,6.93581321
R2_73_2,3451,221.9460227
R2_116_1,745,32.69740513
R2_116_2,711,65.39481027
R2_116_3,639,130.7896205
R2_14_1,1069,267857.1429
R2_14_2,596,535714.2857
R2_14_3,931,1071428.571
R2_151_1,794,32.69740513
R2_151_2,1000,65.39481027
R2_151_3,492,130.7896205
R2_153_1,664,16.34870257
R2_153_2,922,32.69740513
R2_153_3,1686,65.39481027
R2_28_1,997,8.174351283
R2_28_2,2547,16.34870257
R2_28_3,606,32.69740513
R2_32_1,868,8.174351283
R2_32_2,1235,16.34870257
R2_32_3,1148,32.69740513
R2_37_1,1143,4.087175642
R2_37_2,2187,8.174351283
R2_37_3,1083,16.34870257
R2_42_1,1367,4.087175642
R2_42_2,655,8.174351283
R2_42_3,558,16.34870257
R2_46_1,1921,2.043587821
R2_46_2,402,4.087175642
R2_46_3,1003,8.174351283
R2_53_1,1916,2.043587821
R2_53_2,1989,4.087175642
R2_53_3,1674,8.174351283
R2_59_1,2625,8.174351283
R2_59_2,2484,16.34870257
R2_59_3,1083,32.69740513
R2_76_1,908,1.02179391
R2_76_2,1030,2.043587821
R2_76_3,822,4.087175642
R2_38_1,829,0.476837158
R2_38_2,760,0.953674316
R2_38_3,872,1.907348633
R2_38_4,573,3.814697266
R2_45_1,1379,3.814697266
R2_45_2,1862,7.629394531
R2_45_3,1963,15.25878906
R2_45_4,1717,30.51757813
R2_72_1,1639,1.907348633
R2_72_2,1792,3.814697266
R2_72_3,1862,7.629394531
R2_72_4,1442,15.25878906
NG1_1_P1,661,3750000
NG1_1_P2,1689,58593.75
NG1_10_P1,1400,937500
NG1_10_P2,825,58593.75
NG1_11_P1,663,937500
NG1_11_P2,1310,234375
NG1_12_P1,605,234375
NG1_12_P2,719,58593.75
NG1_2_P1,867,3750000
NG1_2_P2,889,234375
NG1_3_P1,2361,3750000
NG1_3_P2,1725,58593.75
NG1_4_P1,1914,3750000
NG1_4_P2,944,234375
NG1_5_P1,2336,3750000
NG1_5_P2,1169,58593.75
NG1_6_P1,1986,3750000
NG1_6_P2,1648,937500
NG1_7_P1,884,937500
NG1_7_P2,1490,234375
NG1_8_P1,1940,937500
NG1_8_P2,975,58593.75
NG1_9_P1,1637,937500
NG1_9_P2,4577,234375
FG1_1_P1,1453,3750000
FG1_1_P2,897,58593.75
FG1_10_P1,1104,14648.4375
FG1_10_P2,1121,915.52875
FG1_11_P1,881,3662.11125
FG1_11_P2,1092,915.52875
FG1_12_P1,510,228.882
FG1_12_P2,814,57.2205
FG1_2_P1,870,937500
FG1_2_P2,886,58593.75
FG1_3_P1,2530,234375
FG1_3_P2,1556,3662.11125
FG1_4_P1,1357,58593.75
FG1_4_P2,1501,3662.11125
FG1_5_P1,1558,14648.4375
FG1_5_P2,1947,228.882
FG1_6_P1,1489,3662.11125
FG1_6_P2,2145,915.52875
FG1_7_P1,1173,937500
FG1_7_P2,1201,234375
FG1_8_P1,1192,234375
FG1_8_P2,1723,14648.4375
FG1_9_P1,3069,58593.75
FG1_9_P2,3145,14648.4375
