ID,Length,MXB (attomol/ul)
R1_11_1,703,5.035400391
R1_11_2,785,10.07080078
R1_13_1,1940,2578.125
R1_13_2,698,5156.25
R1_101_1,719,1.258850098
R1_101_2,430,0.629425049
R1_33_1,2361,0.039339066
R1_33_2,1022,0.019669533
R1_42_1,975,322.265625
R1_42_2,604,644.53125
R1_52_1,1118,10.07080078
R1_52_2,1504,5.035400391
R1_62_1,955,0.314712524
R1_62_2,627,0.629425049
R1_72_1,988,0.039339066
R1_72_2,1227,0.078678131
R1_73_1,1914,161.1328125
R1_73_2,2865,80.56640625
R1_83_1,1648,40.28320313
R1_83_2,945,80.56640625
R2_115_1,794,161.1328125
R2_115_2,1045,322.265625
R2_19_1,1688,322.265625
R2_19_2,6943,161.1328125
R2_20_1,1258,20.14160156
R2_20_2,1343,10.07080078
R2_41_1,2182,20.14160156
R2_41_2,616,40.28320313
R2_47_1,3894,644.53125
R2_47_2,1201,322.265625
R2_54_1,2993,322.265625
R2_54_2,1523,161.1328125
R1_12_1,1310,56.87040441
R1_12_2,1582,3.554400276
R1_102_1,1490,0.888600069
R1_102_2,1362,0.055537504
R1_23_1,1689,0.888600069
R1_23_2,1182,14.2176011
R1_32_1,944,3.554400276
R1_32_2,783,0.222150017
R1_41_1,439,3639.705882
R1_41_2,1001,227.4816176
R1_61_1,663,0.888600069
R1_61_2,535,0.055537504
R1_63_1,2336,909.9264706
R1_63_2,1506,14558.82353
R1_82_1,1400,117.1875
R1_82_2,982,3750
R1_91_1,605,7.32421875
R1_91_2,954,0.228881836
R2_150_1,755,7.32421875
R2_150_2,1846,234.375
R2_26_1,4401,937.5
R2_26_2,1417,30000
R2_55_2,661,7500
R2_55_3,782,234.375
R2_63_1,1571,937.5
R2_63_3,712,29.296875
R2_66_1,985,234.375
R2_66_2,878,7500
R2_7_1,635,29.296875
R2_7_2,1728,937.5
R1_14_1,664,241.6992188
R1_103_1,1754,429.6875
R1_103_2,1856,53.7109375
R1_21_1,867,3437.5
R1_21_2,794,27500
R1_22_1,1169,3.356933594
R1_22_2,1041,26.85546875
R1_24_1,4577,30.21240234
R1_31_1,661,214.84375
R1_31_2,1466,1718.75
R1_43_1,2617,1718.75
R1_43_2,2907,214.84375
R1_51_1,884,60.42480469
R1_51_2,890,60.42480469
R1_53_1,1986,241.6992188
R1_71_1,825,7734.375
R1_71_2,476,7734.375
R1_81_1,889,60.42480469
R1_81_2,1651,60.42480469
R1_92_1,1637,60.42480469
R1_92_2,727,60.42480469
R1_93_1,1725,241.6992188
R1_93_2,1177,241.6992188
R2_140_1,945,60.42480469
R2_143_1,825,7.553100586
R2_1_1,995,15.10620117
R2_105_1,375,7.553100586
R2_117_1,1039,30.21240234
R2_117_3,913,30.21240234
R2_152_1,2243,15.10620117
R2_152_2,1854,15.10620117
R2_154_1,912,966.796875
R2_154_2,820,966.796875
R2_18_1,571,7734.375
R2_18_2,707,7734.375
R2_24_1,3788,13.42773438
R2_24_2,2985,1.678466797
R2_27_1,2254,0.839233398
R2_27_2,1106,0.104904175
R2_33_1,283,0.118017197
R2_57_1,1392,0.055537504
R2_57_2,1199,0.888600069
R2_6_1,546,227.4816176
R2_6_2,491,3639.705882
R2_60_1,1188,113.7408088
R2_60_2,1625,7.108800551
R2_65_1,908,3.776550293
R2_67_1,523,0.236034393
R2_68_1,2461,0.228881836
R2_68_2,2015,0.007152557
R2_71_1,1127,0.114440918
R2_71_2,369,3.662109375
R2_73_1,944,0.114440918
R2_73_2,3451,3.662109375
R2_116_1,745,1.079014369
R2_116_2,711,0.539507185
R2_116_3,639,0.269753592
R2_14_1,1069,4419.642857
R2_14_2,596,17678.57143
R2_14_3,931,8839.285714
R2_151_1,794,1.079014369
R2_151_2,1000,0.539507185
R2_151_3,492,0.269753592
R2_153_1,664,0.134876796
R2_153_2,922,0.269753592
R2_153_3,1686,0.067438398
R2_28_1,997,0.539507185
R2_28_2,2547,1.079014369
R2_28_3,606,0.269753592
R2_32_1,868,4.316057478
R2_32_2,1235,1.079014369
R2_32_3,1148,2.158028739
R2_37_1,1143,0.0084298
R2_37_2,2187,0.0168596
R2_37_3,1083,0.033719199
R2_42_1,1367,0.067438398
R2_42_2,655,0.134876796
R2_42_3,558,0.269753592
R2_46_1,1921,0.033719199
R2_46_2,402,0.067438398
R2_46_3,1003,0.134876796
R2_53_1,1916,0.067438398
R2_53_2,1989,0.0168596
R2_53_3,1674,0.033719199
R2_59_1,2625,0.269753592
R2_59_2,2484,0.067438398
R2_59_3,1083,0.134876796
R2_76_1,908,0.134876796
R2_76_2,1030,0.269753592
R2_76_3,822,0.067438398
R2_38_1,829,0.12588501
R2_38_2,760,0.062942505
R2_38_3,872,0.031471252
R2_38_4,573,0.015735626
R2_45_1,1379,0.031471252
R2_45_2,1862,0.062942505
R2_45_3,1963,0.12588501
R2_45_4,1717,0.25177002
R2_72_1,1639,0.003933907
R2_72_2,1792,0.007867813
R2_72_3,1862,0.015735626
R2_72_4,1442,0.031471252
