ID	Length	MXA
R1_11_1	703	161.13075
R1_11_2	785	80.5695
R1_52_1	1118	0.627
R1_52_2	1504	0.3135
R1_62_1	955	2.51625
R1_62_2	627	1.26225
R1_72_1	988	1.26225
R1_72_2	1227	0.627
R2_115_1	794	80.5695
R2_115_2	1045	40.28475
R2_19_1	1688	2578.125
R2_19_2	6943	1289.0625
R2_20_1	1258	20.13825
R2_20_2	1343	10.07325
R2_41_1	2182	161.13075
R2_41_2	616	80.5695
R2_47_1	3894	80.5695
R2_47_2	1201	40.28475
R2_54_1	2993	322.26975
R2_54_2	1523	161.13075
R1_41_1	439	454.96275
R1_41_2	1001	7279.41225
R2_150_1	755	58.5915
R2_150_2	1846	1875.00225
R2_26_1	4401	1875.00225
R2_26_2	1417	58.5915
R2_55_2	661	937.497
R2_55_3	782	30000.003
R2_63_1	1571	29.29575
R2_63_3	712	937.497
R2_66_1	985	937.497
R2_66_2	878	30000.003
R2_7_1	635	29.29575
R2_7_2	1728	937.497
R1_14_1	664	483.4005
R1_103_1	1754	107.42325
R1_103_2	1856	859.37775
R1_43_1	2617	13.431
R1_43_2	2907	107.42325
R2_1_1	995	0.9405
R2_105_1	375	0.9405
R2_117_1	1039	30.2115
R2_117_3	913	30.2115
R2_152_1	2243	15.10575
R2_152_2	1854	15.10575
R2_154_1	912	1933.59375
R2_154_2	820	1933.59375
R2_18_1	571	7734.375
R2_18_2	707	7734.375
R2_24_1	3788	1.67475
R2_24_2	2985	13.431
R2_27_1	2254	0.8415
R2_27_2	1106	6.7155
R2_33_1	283	0.05775
R2_57_1	1392	0.4455
R2_57_2	1199	7.1115
R2_6_1	546	28.43775
R2_6_2	491	454.96275
R2_60_1	1188	0.4455
R2_60_2	1625	7.1115
R2_65_1	908	3.7785
R2_67_1	523	3.7785
R2_68_1	2461	0.1155
R2_68_2	2015	3.663
R2_71_1	1127	0.1155
R2_71_2	369	3.663
R2_73_1	944	0.05775
R2_73_2	3451	1.8315
R2_116_1	745	0.27225
R2_116_2	711	0.53625
R2_116_3	639	1.08075
R2_14_1	1069	2209.82025
R2_14_2	596	4419.6405
R2_14_3	931	8839.28925
R2_151_1	794	0.27225
R2_151_2	1000	0.53625
R2_151_3	492	1.08075
R2_153_1	664	0.132
R2_153_2	922	0.27225
R2_153_3	1686	0.53625
R2_28_1	997	0.066
R2_28_2	2547	0.132
R2_28_3	606	0.27225
R2_32_1	868	0.066
R2_32_2	1235	0.132
R2_32_3	1148	0.27225
R2_37_1	1143	0.033
R2_37_2	2187	0.066
R2_37_3	1083	0.132
R2_42_1	1367	0.033
R2_42_2	655	0.066
R2_42_3	558	0.132
R2_46_1	1921	0.0165
R2_46_2	402	0.033
R2_46_3	1003	0.066
R2_53_1	1916	0.0165
R2_53_2	1989	0.033
R2_53_3	1674	0.066
R2_59_1	2625	0.066
R2_59_2	2484	0.132
R2_59_3	1083	0.27225
R2_76_1	908	0.00825
R2_76_2	1030	0.0165
R2_76_3	822	0.033
R2_38_1	829	0.00825
R2_38_2	760	0.00825
R2_38_3	872	0.0165
R2_38_4	573	0.033
R2_45_1	1379	0.033
R2_45_2	1862	0.066
R2_45_3	1963	0.12375
R2_45_4	1717	0.25575
R2_72_1	1639	0.0165
R2_72_2	1792	0.033
R2_72_3	1862	0.066
R2_72_4	1442	0.12375
NG1_1_P1	661	30937.5
NG1_1_P2	1689	483.4005
NG1_10_P1	1400	7734.375
NG1_10_P2	825	483.4005
NG1_11_P1	663	7734.375
NG1_11_P2	1310	1933.59375
NG1_12_P1	605	1933.59375
NG1_12_P2	719	483.4005
NG1_2_P1	867	30937.5
NG1_2_P2	889	1933.59375
NG1_3_P1	2361	30937.5
NG1_3_P2	1725	483.4005
NG1_4_P1	1914	30937.5
NG1_4_P2	944	1933.59375
NG1_5_P1	2336	30937.5
NG1_5_P2	1169	483.4005
NG1_6_P1	1986	30937.5
NG1_6_P2	1648	7734.375
NG1_7_P1	884	7734.375
NG1_7_P2	1490	1933.59375
NG1_8_P1	1940	7734.375
NG1_8_P2	975	483.4005
NG1_9_P1	1637	7734.375
NG1_9_P2	4577	1933.59375
FG1_1_P1	1453	30937.5
FG1_1_P2	897	483.4005
FG1_10_P1	1104	120.846
FG1_10_P2	1121	7.557
FG1_11_P1	881	30.2115
FG1_11_P2	1092	7.557
FG1_12_P1	510	1.88925
FG1_12_P2	814	0.47025
FG1_2_P1	870	7734.375
FG1_2_P2	886	483.4005
FG1_3_P1	2530	1933.59375
FG1_3_P2	1556	30.2115
FG1_4_P1	1357	483.4005
FG1_4_P2	1501	30.2115
FG1_5_P1	1558	120.846
FG1_5_P2	1947	1.88925
FG1_6_P1	1489	30.2115
FG1_6_P2	2145	7.557
FG1_7_P1	1173	7734.375
FG1_7_P2	1201	1933.59375
FG1_8_P1	1192	1933.59375
FG1_8_P2	1723	120.846
FG1_9_P1	3069	483.4005
FG1_9_P2	3145	120.846
